OutcomeType,SexuponOutcome,AgeuponOutcome,Name,IntakeType,IntakeCondition,AnimalType,AgeuponIntake,Color,Aggressive,Mixed,NumberOfAdmits,Time_Outcomes,Time_Intakes,DayOfWeek_Outcomes,DayOfWeek_Intakes,LengthOfStay,Intactness,Gender
7,7,212.919,7,7,7,7,212.919,7,7,7,1,01,02,2,0,2880.0,7,7
3,3,1095,3,3,3,3,1095,3,3,3,1,01,11,2,2,1440.0,3,3
0,0,1095,0,0,0,0,1095,0,0,0,1,01,07,2,3,80640.0,0,0
3,3,365,3,3,3,3,365,3,3,3,1,01,01,2,0,44640.0,3,3
3,3,730,3,3,3,3,730,3,3,3,1,01,02,2,2,90720.0,3,3
0,0,365,0,0,0,0,365,0,0,0,1,02,03,2,1,11520.0,0,0
7,7,365,7,7,7,7,30.417,7,7,7,1,02,06,2,2,40320.0,7,7
7,7,365,7,7,7,7,365,7,7,7,1,03,11,2,5,57600.0,7,7
7,7,1825,7,7,7,7,1825,7,7,7,1,03,03,2,0,4320.0,7,7
5,5,2190,5,5,5,5,2190,5,5,5,1,03,08,2,2,1440.0,5,5
0,0,2190,0,0,0,0,2190,0,0,0,1,03,11,2,4,18720.0,0,0
5,5,365,5,5,5,5,365,5,5,5,1,04,11,2,2,1440.0,5,5
0,0,91.251,0,0,0,0,60.834,0,0,0,1,04,07,2,0,14400.0,0,0
5,5,2190,5,5,5,5,2190,5,5,5,1,04,03,2,2,1440.0,5,5
0,0,91.251,0,0,0,0,60.834,0,0,0,1,04,12,2,3,10080.0,0,0
5,5,1460,5,5,5,5,1460,5,5,5,1,04,01,2,2,21600.0,5,5
0,0,152.085,0,0,0,0,152.085,0,0,0,1,05,01,2,5,7200.0,0,0
5,5,1825,5,5,5,5,1825,5,5,5,1,05,01,2,5,17280.0,5,5
5,5,365,5,5,5,5,365,5,5,5,1,06,05,2,5,7200.0,5,5
0,0,1095,0,0,0,0,1095,0,0,0,1,06,03,2,3,20160.0,0,0
0,0,365,0,0,0,0,365,0,0,0,1,06,01,2,5,7200.0,0,0
0,0,365,0,0,0,0,365,0,0,0,1,06,06,2,5,17280.0,0,0
7,7,365,7,7,7,7,365,7,7,7,1,07,03,2,5,17280.0,7,7
0,0,121.668,0,0,0,0,121.668,0,0,0,1,07,01,2,5,7200.0,0,0
0,0,2920,0,0,0,0,2555,0,0,0,1,07,12,2,2,102240.0,0,0
5,5,2555,5,5,5,5,2555,5,5,5,1,07,06,2,2,1440.0,5,5
7,7,60.834,7,7,7,7,60.834,7,7,7,1,07,06,2,3,10080.0,7,7
7,7,2555,7,7,7,7,2555,7,7,7,1,07,01,2,5,25920.0,7,7
3,3,243.336,3,3,3,3,243.336,3,3,3,1,09,10,2,1,1440.0,3,3
0,0,91.251,0,0,0,0,30.417,0,0,0,1,09,04,2,6,84960.0,0,0
0,0,121.668,0,0,0,0,30.417,0,0,0,1,10,02,2,0,103680.0,0,0
0,0,60.834,0,0,0,0,28,0,0,0,1,10,04,2,3,69120.0,0,0
0,0,60.834,0,0,0,0,30.417,0,0,0,1,11,07,2,4,17280.0,0,0
7,7,365,7,7,7,7,365,7,7,7,1,11,06,2,2,40320.0,7,7
7,7,730,7,7,7,7,730,7,7,7,1,12,06,2,3,8640.0,7,7
0,0,365,0,0,0,0,365,0,0,0,1,12,01,2,4,7200.0,0,0
0,0,273.75300000000004,0,0,0,0,243.336,0,0,0,1,01,11,3,1,83520.0,0,0
5,5,1825,5,5,5,5,1825,5,5,5,1,01,11,3,3,1440.0,5,5
0,0,730,0,0,0,0,730,0,0,0,1,01,05,3,4,8640.0,0,0
0,0,243.336,0,0,0,0,243.336,0,0,0,1,02,11,3,0,5760.0,0,0
5,5,1460,5,5,5,5,1460,5,5,5,1,02,11,3,2,1440.0,5,5
5,5,2920,5,5,5,5,2920,5,5,5,1,02,11,3,6,7200.0,5,5
7,7,1460,7,7,7,7,1460,7,7,7,1,02,04,3,5,7200.0,7,7
7,7,365,7,7,7,7,365,7,7,7,1,03,12,3,3,1440.0,7,7
0,0,1460,0,0,0,0,1460,0,0,0,1,03,01,3,5,8640.0,0,0
0,0,365,0,0,0,0,365,0,0,0,1,04,02,3,6,7200.0,0,0
5,5,182.502,5,5,5,5,182.502,5,5,5,1,05,11,3,2,2880.0,5,5
